	acc_observed	blca_observed	brca_observed	cesc_observed	chol_observed	coad_observed	dlbc_observed	esca_observed	gbm_observed	hnsc_observed	kich_observed	kirc_observed	kirp_observed	laml_observed	lgg_observed	lihc_observed	luad_observed	lusc_observed	meso_observed	ov_observed	paad_observed	pcpg_observed	prad_observed	read_observed	sarc_observed	skcm_observed	stad_observed	tgct_observed	thca_observed	thym_observed	ucec_observed	ucs_observed	uvm_observed	pancancer_observed
FMNL1	1.0	9.0	4.0	7.0	1.0	9.0	0.0	0.0	3.0	1.0	0.0	3.0	1.0	0.0	2.0	2.0	9.0	7.0	0.0	1.0	1.0	0.0	1.0	2.0	1.0	21.0	14.0	0.0	1.0	0.0	35.0	0.0	1.0	137.0
FMNL2	1.0	7.0	6.0	3.0	0.0	6.0	2.0	1.0	3.0	5.0	0.0	1.0	0.0	2.0	1.0	5.0	5.0	5.0	1.0	4.0	0.0	0.0	2.0	6.0	2.0	32.0	11.0	0.0	0.0	1.0	37.0	2.0	0.0	151.0
FMNL3	0.0	6.0	12.0	7.0	0.0	15.0	0.0	2.0	1.0	7.0	0.0	2.0	2.0	0.0	4.0	1.0	7.0	9.0	0.0	3.0	3.0	0.0	2.0	5.0	3.0	19.0	12.0	0.0	2.0	0.0	35.0	0.0	0.0	159.0
FMO1	1.0	2.0	10.0	3.0	0.0	10.0	0.0	0.0	2.0	7.0	0.0	1.0	3.0	0.0	3.0	4.0	23.0	8.0	0.0	0.0	1.0	0.0	3.0	1.0	0.0	37.0	7.0	0.0	1.0	0.0	27.0	0.0	0.0	154.0
FMO2	1.0	7.0	8.0	1.0	0.0	9.0	1.0	0.0	0.0	5.0	0.0	2.0	1.0	1.0	0.0	3.0	17.0	6.0	0.0	1.0	2.0	0.0	2.0	3.0	2.0	24.0	9.0	0.0	0.0	0.0	23.0	0.0	1.0	129.0
FMO3	0.0	12.0	4.0	2.0	0.0	10.0	0.0	1.0	3.0	6.0	0.0	0.0	0.0	1.0	1.0	3.0	11.0	10.0	0.0	2.0	0.0	1.0	2.0	2.0	0.0	44.0	9.0	0.0	1.0	0.0	25.0	0.0	1.0	151.0
FMO4	0.0	9.0	5.0	2.0	0.0	8.0	0.0	3.0	1.0	6.0	0.0	0.0	2.0	0.0	2.0	0.0	8.0	5.0	0.0	4.0	0.0	0.0	1.0	3.0	1.0	19.0	7.0	0.0	1.0	0.0	31.0	0.0	0.0	118.0
FMO5	0.0	5.0	5.0	7.0	0.0	9.0	0.0	1.0	1.0	2.0	0.0	3.0	1.0	0.0	0.0	0.0	2.0	8.0	0.0	1.0	1.0	0.0	0.0	3.0	1.0	11.0	7.0	0.0	0.0	0.0	21.0	0.0	0.0	89.0
FMOD	0.0	3.0	3.0	2.0	0.0	7.0	0.0	2.0	0.0	6.0	0.0	3.0	0.0	0.0	1.0	2.0	5.0	6.0	0.0	0.0	1.0	1.0	1.0	1.0	2.0	15.0	11.0	0.0	1.0	1.0	17.0	0.0	0.0	91.0
FMR1	0.0	1.0	12.0	5.0	0.0	8.0	0.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	4.0	2.0	16.0	13.0	0.0	3.0	1.0	0.0	1.0	2.0	2.0	12.0	8.0	0.0	1.0	0.0	48.0	1.0	0.0	150.0
FMR1NB	1.0	3.0	7.0	3.0	0.0	9.0	0.0	2.0	4.0	4.0	0.0	1.0	0.0	0.0	3.0	0.0	10.0	10.0	0.0	2.0	1.0	0.0	1.0	2.0	0.0	8.0	4.0	0.0	0.0	0.0	20.0	0.0	0.0	95.0
FN1	1.0	23.0	17.0	7.0	0.0	40.0	1.0	2.0	9.0	18.0	0.0	4.0	4.0	2.0	2.0	13.0	23.0	38.0	1.0	7.0	6.0	0.0	4.0	5.0	3.0	52.0	28.0	0.0	2.0	1.0	74.0	0.0	0.0	387.0
FN3K	0.0	2.0	3.0	1.0	0.0	6.0	0.0	1.0	3.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	1.0	3.0	4.0	0.0	0.0	0.0	14.0	0.0	0.0	47.0
FN3KRP	0.0	2.0	3.0	2.0	0.0	3.0	0.0	0.0	1.0	4.0	0.0	0.0	1.0	0.0	0.0	0.0	7.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0	0.0	1.0	0.0	9.0	0.0	0.0	40.0
FNBP1	0.0	10.0	4.0	5.0	0.0	12.0	0.0	2.0	0.0	5.0	0.0	0.0	0.0	1.0	2.0	2.0	6.0	5.0	0.0	3.0	1.0	0.0	0.0	2.0	0.0	11.0	5.0	0.0	0.0	0.0	23.0	0.0	0.0	99.0
FNBP1L	0.0	4.0	5.0	0.0	0.0	5.0	0.0	1.0	1.0	1.0	0.0	2.0	2.0	0.0	1.0	1.0	4.0	0.0	0.0	3.0	1.0	0.0	0.0	1.0	0.0	14.0	5.0	0.0	0.0	0.0	23.0	0.0	0.0	74.0
FNBP4	0.0	17.0	8.0	3.0	0.0	14.0	0.0	0.0	2.0	10.0	0.0	2.0	1.0	1.0	2.0	2.0	12.0	8.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	13.0	7.0	0.0	1.0	0.0	30.0	1.0	0.0	136.0
FNDC1	3.0	16.0	10.0	11.0	0.0	45.0	0.0	10.0	6.0	17.0	0.0	2.0	4.0	1.0	4.0	8.0	29.0	24.0	0.0	4.0	2.0	1.0	5.0	7.0	1.0	65.0	18.0	1.0	1.0	0.0	65.0	1.0	1.0	362.0
FNDC11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FNDC3A	0.0	13.0	8.0	3.0	1.0	13.0	0.0	2.0	2.0	7.0	1.0	0.0	1.0	0.0	2.0	3.0	9.0	4.0	0.0	3.0	1.0	1.0	2.0	2.0	1.0	24.0	11.0	0.0	1.0	0.0	30.0	2.0	0.0	147.0
FNDC3B	0.0	11.0	9.0	5.0	0.0	15.0	0.0	3.0	5.0	6.0	0.0	2.0	2.0	0.0	1.0	3.0	12.0	10.0	0.0	3.0	1.0	0.0	2.0	1.0	0.0	26.0	13.0	0.0	0.0	0.0	39.0	1.0	0.0	170.0
FNDC4	0.0	1.0	1.0	2.0	0.0	3.0	0.0	0.0	2.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	12.0	1.0	0.0	37.0
FNDC5	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	5.0	3.0	0.0	1.0	0.0	8.0	1.0	0.0	29.0
FNDC7	0.0	7.0	4.0	3.0	0.0	4.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	3.0	12.0	10.0	0.0	0.0	0.0	1.0	1.0	1.0	3.0	19.0	9.0	0.0	1.0	0.0	17.0	0.0	0.0	100.0
FNDC8	0.0	3.0	2.0	1.0	0.0	5.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	6.0	1.0	0.0	1.0	1.0	0.0	0.0	3.0	0.0	8.0	3.0	0.0	1.0	0.0	12.0	0.0	0.0	51.0
FNDC9	0.0	1.0	1.0	0.0	0.0	6.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	2.0	1.0	2.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	11.0	2.0	0.0	0.0	0.0	12.0	0.0	0.0	46.0
FNIP1	2.0	11.0	5.0	0.0	0.0	12.0	1.0	3.0	4.0	8.0	1.0	4.0	3.0	0.0	2.0	4.0	11.0	10.0	1.0	2.0	1.0	0.0	1.0	3.0	1.0	15.0	8.0	0.0	0.0	1.0	41.0	1.0	0.0	156.0
FNIP2	0.0	9.0	2.0	6.0	0.0	9.0	0.0	0.0	4.0	5.0	0.0	4.0	5.0	1.0	0.0	4.0	10.0	4.0	1.0	2.0	1.0	0.0	2.0	2.0	2.0	20.0	17.0	0.0	2.0	0.0	35.0	0.0	0.0	147.0
FNTA	0.0	1.0	1.0	1.0	0.0	4.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	5.0	8.0	1.0	3.0	1.0	0.0	1.0	0.0	0.0	4.0	4.0	1.0	0.0	0.0	8.0	0.0	0.0	49.0
FNTB	0.0	0.0	5.0	0.0	0.0	2.0	1.0	1.0	0.0	3.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	3.0	0.0	1.0	0.0	0.0	1.0	3.0	0.0	1.0	4.0	0.0	1.0	0.0	14.0	0.0	0.0	44.0
FOCAD	2.0	9.0	15.0	8.0	0.0	13.0	0.0	3.0	2.0	9.0	0.0	2.0	4.0	1.0	2.0	6.0	16.0	11.0	1.0	5.0	2.0	0.0	1.0	3.0	3.0	33.0	20.0	1.0	3.0	0.0	43.0	2.0	0.0	220.0
FOLH1	0.0	9.0	10.0	5.0	0.0	23.0	0.0	6.0	4.0	7.0	1.0	1.0	1.0	1.0	4.0	2.0	36.0	27.0	0.0	1.0	1.0	0.0	0.0	4.0	1.0	37.0	14.0	0.0	2.0	0.0	33.0	0.0	0.0	230.0
FOLH1B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FOLR1	0.0	0.0	2.0	2.0	0.0	5.0	0.0	1.0	2.0	3.0	0.0	0.0	0.0	0.0	1.0	2.0	3.0	2.0	0.0	3.0	1.0	0.0	1.0	1.0	0.0	14.0	2.0	1.0	0.0	0.0	6.0	0.0	0.0	52.0
FOLR2	0.0	1.0	0.0	1.0	0.0	3.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	1.0	2.0	3.0	0.0	2.0	0.0	0.0	0.0	1.0	1.0	6.0	5.0	1.0	1.0	1.0	8.0	0.0	0.0	41.0
FOLR3	0.0	4.0	4.0	2.0	0.0	5.0	0.0	2.0	3.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	5.0	6.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	13.0	7.0	1.0	1.0	0.0	9.0	1.0	0.0	70.0
FOPNL	0.0	3.0	3.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	3.0	7.0	0.0	0.0	0.0	11.0	1.0	0.0	38.0
FOS	0.0	4.0	2.0	3.0	0.0	4.0	0.0	1.0	2.0	7.0	0.0	1.0	0.0	0.0	0.0	2.0	4.0	3.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	9.0	1.0	0.0	0.0	0.0	15.0	0.0	0.0	61.0
FOSB	0.0	2.0	4.0	3.0	0.0	4.0	0.0	0.0	2.0	3.0	0.0	1.0	0.0	0.0	1.0	2.0	2.0	2.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0	8.0	9.0	0.0	0.0	0.0	10.0	0.0	0.0	57.0
FOSL1	0.0	4.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	4.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	8.0	0.0	0.0	33.0
FOSL2	1.0	5.0	2.0	3.0	0.0	2.0	0.0	1.0	2.0	9.0	1.0	0.0	0.0	0.0	0.0	1.0	4.0	2.0	0.0	3.0	2.0	0.0	0.0	1.0	1.0	10.0	11.0	0.0	0.0	0.0	16.0	0.0	0.0	77.0
FOXA1	0.0	13.0	31.0	2.0	0.0	3.0	1.0	1.0	3.0	3.0	0.0	0.0	1.0	0.0	2.0	0.0	3.0	3.0	0.0	1.0	2.0	0.0	28.0	1.0	2.0	9.0	1.0	2.0	0.0	0.0	19.0	0.0	0.0	131.0
FOXA2	0.0	3.0	4.0	6.0	1.0	5.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	0.0	3.0	7.0	0.0	4.0	0.0	1.0	1.0	1.0	0.0	14.0	3.0	0.0	0.0	1.0	36.0	3.0	0.0	97.0
FOXA3	0.0	4.0	3.0	3.0	0.0	4.0	1.0	1.0	1.0	1.0	0.0	0.0	2.0	0.0	2.0	0.0	4.0	4.0	0.0	2.0	1.0	0.0	2.0	0.0	0.0	12.0	10.0	0.0	0.0	0.0	10.0	0.0	0.0	67.0
FOXB1	0.0	0.0	1.0	1.0	0.0	3.0	0.0	0.0	2.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	4.0	8.0	0.0	0.0	0.0	3.0	0.0	0.0	34.0
FOXB2	0.0	3.0	3.0	0.0	0.0	7.0	0.0	1.0	2.0	4.0	0.0	0.0	1.0	0.0	1.0	2.0	10.0	4.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	3.0	5.0	0.0	0.0	0.0	7.0	0.0	0.0	57.0
FOXC1	0.0	1.0	3.0	1.0	0.0	5.0	3.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	2.0	2.0	2.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	2.0	4.0	0.0	0.0	1.0	8.0	0.0	1.0	43.0
FOXC2	1.0	2.0	0.0	2.0	0.0	3.0	0.0	0.0	1.0	4.0	0.0	0.0	1.0	0.0	1.0	3.0	10.0	5.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	12.0	6.0	0.0	0.0	0.0	12.0	0.0	0.0	68.0
FOXD1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	5.0	0.0	0.0	14.0
FOXD2	0.0	3.0	0.0	2.0	0.0	4.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0	3.0	1.0	0.0	0.0	3.0	1.0	1.0	0.0	0.0	0.0	0.0	26.0
FOXD3	1.0	0.0	4.0	3.0	0.0	4.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	2.0	4.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	5.0	0.0	0.0	0.0	9.0	0.0	0.0	38.0
FOXD4	0.0	4.0	2.0	5.0	0.0	7.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	4.0	4.0	0.0	2.0	2.0	0.0	1.0	0.0	0.0	6.0	8.0	1.0	0.0	0.0	29.0	0.0	0.0	81.0
FOXD4L1	0.0	3.0	3.0	0.0	0.0	6.0	1.0	0.0	0.0	4.0	0.0	1.0	1.0	0.0	0.0	0.0	4.0	4.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	6.0	10.0	0.0	0.0	0.0	11.0	0.0	0.0	57.0
FOXD4L2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FOXD4L3	0.0	2.0	2.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	3.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	12.0	0.0	0.0	34.0
FOXD4L4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FOXD4L5	0.0	2.0	0.0	0.0	0.0	7.0	0.0	3.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	9.0	7.0	0.0	1.0	0.0	0.0	2.0	2.0	1.0	10.0	6.0	0.0	0.0	0.0	16.0	0.0	0.0	71.0
FOXD4L6	0.0	0.0	2.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	13.0
FOXE1	0.0	9.0	0.0	3.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	3.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	3.0	8.0	1.0	1.0	0.0	5.0	0.0	0.0	44.0
FOXE3	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	13.0
FOXF1	0.0	2.0	0.0	2.0	0.0	3.0	0.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	1.0	1.0	6.0	4.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	9.0	10.0	0.0	0.0	1.0	13.0	1.0	0.0	60.0
FOXF2	0.0	3.0	0.0	1.0	0.0	7.0	0.0	0.0	1.0	2.0	0.0	0.0	2.0	0.0	1.0	0.0	8.0	5.0	1.0	1.0	0.0	0.0	0.0	2.0	1.0	4.0	2.0	0.0	0.0	0.0	9.0	0.0	1.0	51.0
FOXG1	1.0	6.0	2.0	2.0	0.0	13.0	0.0	10.0	2.0	8.0	0.0	0.0	1.0	1.0	0.0	7.0	19.0	16.0	0.0	0.0	3.0	0.0	3.0	2.0	0.0	14.0	15.0	0.0	0.0	0.0	27.0	1.0	0.0	153.0
FOXH1	1.0	1.0	0.0	1.0	0.0	4.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	4.0	5.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	13.0	3.0	0.0	1.0	0.0	8.0	0.0	0.0	49.0
FOXI1	1.0	0.0	1.0	0.0	0.0	13.0	0.0	1.0	3.0	6.0	1.0	1.0	0.0	1.0	3.0	1.0	13.0	3.0	0.0	1.0	2.0	0.0	0.0	3.0	3.0	17.0	12.0	0.0	1.0	0.0	13.0	0.0	0.0	100.0
FOXI2	0.0	1.0	1.0	0.0	0.0	5.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	3.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	5.0	4.0	0.0	1.0	0.0	7.0	0.0	0.0	37.0
FOXI3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FOXJ1	0.0	0.0	0.0	0.0	0.0	5.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	1.0	1.0	5.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	8.0	5.0	0.0	1.0	0.0	8.0	0.0	0.0	40.0
FOXJ2	0.0	7.0	2.0	4.0	0.0	4.0	0.0	1.0	4.0	6.0	1.0	0.0	0.0	0.0	0.0	1.0	4.0	6.0	0.0	4.0	2.0	0.0	2.0	3.0	0.0	10.0	6.0	0.0	0.0	0.0	18.0	0.0	0.0	85.0
FOXJ3	1.0	6.0	6.0	1.0	0.0	6.0	0.0	0.0	5.0	4.0	0.0	2.0	1.0	1.0	0.0	1.0	6.0	1.0	0.0	1.0	1.0	0.0	0.0	3.0	1.0	9.0	7.0	0.0	0.0	0.0	33.0	0.0	0.0	96.0
FOXK1	1.0	0.0	2.0	8.0	1.0	19.0	0.0	1.0	2.0	5.0	0.0	1.0	1.0	0.0	1.0	4.0	7.0	7.0	0.0	1.0	0.0	0.0	0.0	2.0	1.0	18.0	7.0	0.0	0.0	0.0	23.0	0.0	0.0	112.0
FOXK2	0.0	6.0	1.0	2.0	0.0	3.0	0.0	0.0	4.0	4.0	0.0	1.0	2.0	0.0	0.0	2.0	4.0	4.0	0.0	1.0	0.0	0.0	1.0	1.0	2.0	22.0	5.0	1.0	2.0	0.0	16.0	0.0	0.0	84.0
FOXL1	0.0	1.0	1.0	1.0	0.0	7.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	1.0	2.0	3.0	3.0	0.0	2.0	0.0	0.0	3.0	2.0	1.0	8.0	5.0	0.0	0.0	0.0	15.0	0.0	0.0	59.0
FOXL2	0.0	3.0	1.0	2.0	0.0	7.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	7.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	8.0	0.0	0.0	0.0	1.0	0.0	0.0	41.0
FOXL2NB	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FOXM1	0.0	10.0	7.0	6.0	0.0	7.0	0.0	2.0	4.0	3.0	0.0	1.0	1.0	1.0	2.0	1.0	9.0	7.0	0.0	2.0	0.0	1.0	3.0	2.0	1.0	13.0	12.0	1.0	0.0	0.0	26.0	0.0	1.0	123.0
FOXN1	0.0	7.0	4.0	1.0	0.0	7.0	0.0	1.0	4.0	0.0	0.0	0.0	4.0	0.0	3.0	3.0	5.0	5.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	32.0	8.0	0.0	0.0	2.0	21.0	0.0	0.0	109.0
FOXN2	1.0	7.0	2.0	0.0	0.0	10.0	0.0	2.0	2.0	3.0	0.0	1.0	0.0	0.0	1.0	3.0	6.0	4.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	12.0	8.0	0.0	0.0	0.0	15.0	0.0	0.0	81.0
FOXN3	0.0	7.0	2.0	3.0	0.0	10.0	0.0	2.0	2.0	5.0	0.0	0.0	1.0	0.0	0.0	1.0	5.0	6.0	0.0	1.0	0.0	0.0	0.0	2.0	2.0	10.0	10.0	0.0	0.0	0.0	27.0	1.0	0.0	97.0
FOXN4	0.0	1.0	1.0	3.0	0.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	1.0	9.0	2.0	0.0	0.0	2.0	0.0	1.0	3.0	1.0	9.0	3.0	1.0	0.0	0.0	26.0	0.0	0.0	71.0
FOXO1	0.0	2.0	1.0	2.0	0.0	7.0	1.0	2.0	1.0	4.0	1.0	1.0	2.0	1.0	0.0	1.0	5.0	3.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	15.0	4.0	0.0	1.0	0.0	32.0	0.0	0.0	90.0
FOXO3	0.0	2.0	1.0	4.0	0.0	6.0	0.0	2.0	1.0	2.0	0.0	1.0	1.0	0.0	0.0	1.0	6.0	4.0	0.0	2.0	1.0	0.0	2.0	3.0	0.0	10.0	11.0	0.0	0.0	0.0	16.0	0.0	1.0	77.0
FOXO4	1.0	1.0	6.0	4.0	0.0	10.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	0.0	2.0	10.0	5.0	0.0	2.0	0.0	0.0	0.0	1.0	2.0	8.0	7.0	0.0	0.0	0.0	26.0	0.0	0.0	89.0
FOXP1	1.0	10.0	8.0	5.0	0.0	9.0	0.0	3.0	3.0	7.0	0.0	1.0	0.0	2.0	2.0	4.0	11.0	13.0	0.0	2.0	1.0	0.0	3.0	1.0	0.0	20.0	14.0	0.0	0.0	0.0	39.0	1.0	0.0	160.0
FOXP2	2.0	10.0	4.0	1.0	1.0	12.0	0.0	1.0	8.0	3.0	0.0	1.0	2.0	1.0	3.0	2.0	21.0	12.0	0.0	7.0	1.0	0.0	2.0	6.0	0.0	17.0	20.0	0.0	0.0	0.0	33.0	1.0	1.0	172.0
FOXP3	0.0	2.0	5.0	0.0	0.0	4.0	0.0	1.0	5.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	4.0	0.0	0.0	2.0	1.0	0.0	0.0	2.0	2.0	3.0	2.0	0.0	1.0	0.0	18.0	0.0	0.0	55.0
FOXP4	1.0	4.0	5.0	1.0	0.0	8.0	1.0	0.0	1.0	4.0	0.0	1.0	3.0	1.0	1.0	2.0	7.0	6.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	14.0	11.0	1.0	3.0	0.0	32.0	0.0	0.0	111.0
FOXQ1	0.0	14.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	4.0	1.0	0.0	0.0	1.0	0.0	0.0	36.0
FOXR1	0.0	1.0	1.0	0.0	0.0	5.0	0.0	1.0	3.0	1.0	0.0	1.0	0.0	1.0	0.0	2.0	3.0	2.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	11.0	4.0	0.0	0.0	0.0	16.0	0.0	0.0	55.0
FOXR2	0.0	4.0	2.0	2.0	0.0	4.0	0.0	1.0	8.0	3.0	0.0	1.0	0.0	0.0	1.0	1.0	9.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	19.0	4.0	0.0	1.0	0.0	18.0	0.0	0.0	81.0
FOXRED1	0.0	3.0	4.0	1.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	5.0	4.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	11.0	12.0	0.0	0.0	0.0	13.0	1.0	0.0	71.0
FOXRED2	1.0	4.0	4.0	6.0	0.0	10.0	0.0	3.0	1.0	3.0	0.0	4.0	0.0	0.0	0.0	2.0	5.0	5.0	0.0	1.0	0.0	0.0	1.0	1.0	2.0	19.0	10.0	0.0	0.0	0.0	22.0	0.0	0.0	104.0
FOXS1	0.0	5.0	0.0	1.0	0.0	7.0	1.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	2.0	3.0	5.0	1.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	18.0	2.0	0.0	0.0	0.0	12.0	0.0	1.0	67.0
FPGS	1.0	4.0	4.0	2.0	0.0	4.0	0.0	1.0	0.0	2.0	1.0	2.0	1.0	0.0	2.0	1.0	5.0	5.0	0.0	2.0	2.0	0.0	1.0	0.0	0.0	13.0	7.0	0.0	0.0	0.0	15.0	0.0	0.0	75.0
FPGT	0.0	10.0	2.0	3.0	0.0	9.0	1.0	2.0	2.0	5.0	0.0	1.0	0.0	0.0	1.0	3.0	7.0	6.0	0.0	2.0	0.0	0.0	0.0	1.0	3.0	3.0	6.0	0.0	0.0	0.0	12.0	0.0	0.0	79.0
FPR1	1.0	4.0	2.0	0.0	1.0	7.0	0.0	2.0	3.0	4.0	0.0	1.0	0.0	0.0	1.0	1.0	9.0	6.0	0.0	1.0	2.0	0.0	3.0	3.0	1.0	27.0	7.0	0.0	1.0	0.0	9.0	0.0	0.0	96.0
