	acc_observed	blca_observed	brca_observed	cesc_observed	chol_observed	coad_observed	dlbc_observed	esca_observed	gbm_observed	hnsc_observed	kich_observed	kirc_observed	kirp_observed	laml_observed	lgg_observed	lihc_observed	luad_observed	lusc_observed	meso_observed	ov_observed	paad_observed	pcpg_observed	prad_observed	read_observed	sarc_observed	skcm_observed	stad_observed	tgct_observed	thca_observed	thym_observed	ucec_observed	ucs_observed	uvm_observed	pancancer_observed
TANK	0.0	4.0	3.0	2.0	0.0	6.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0	1.0	2.0	1.0	3.0	4.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	3.0	2.0	0.0	0.0	1.0	21.0	0.0	0.0	61.0
TAOK1	1.0	13.0	7.0	3.0	0.0	11.0	1.0	1.0	3.0	6.0	0.0	0.0	0.0	0.0	1.0	4.0	8.0	13.0	0.0	3.0	2.0	0.0	2.0	1.0	3.0	24.0	13.0	0.0	0.0	0.0	29.0	0.0	0.0	149.0
TAOK2	2.0	12.0	6.0	6.0	0.0	18.0	0.0	1.0	4.0	9.0	0.0	0.0	1.0	0.0	2.0	2.0	10.0	8.0	0.0	2.0	2.0	1.0	2.0	2.0	2.0	33.0	21.0	0.0	0.0	0.0	38.0	0.0	0.0	184.0
TAOK3	1.0	11.0	8.0	2.0	0.0	15.0	0.0	2.0	3.0	4.0	0.0	4.0	2.0	0.0	0.0	3.0	11.0	12.0	0.0	3.0	0.0	0.0	1.0	1.0	1.0	11.0	17.0	1.0	1.0	0.0	25.0	0.0	0.0	139.0
TAP1	1.0	4.0	4.0	4.0	1.0	7.0	0.0	0.0	2.0	6.0	0.0	2.0	2.0	0.0	0.0	2.0	1.0	4.0	0.0	4.0	2.0	0.0	3.0	2.0	0.0	12.0	4.0	0.0	0.0	2.0	29.0	0.0	0.0	98.0
TAP2	0.0	2.0	0.0	4.0	0.0	13.0	0.0	1.0	2.0	3.0	0.0	1.0	0.0	1.0	0.0	0.0	9.0	4.0	0.0	1.0	0.0	0.0	1.0	3.0	0.0	17.0	13.0	0.0	0.0	0.0	16.0	0.0	0.0	91.0
TAPBP	0.0	4.0	0.0	7.0	0.0	7.0	0.0	2.0	1.0	5.0	0.0	1.0	1.0	0.0	0.0	1.0	5.0	4.0	1.0	4.0	0.0	0.0	0.0	2.0	0.0	5.0	12.0	0.0	2.0	1.0	12.0	0.0	0.0	77.0
TAPBPL	0.0	2.0	1.0	0.0	0.0	3.0	0.0	1.0	3.0	3.0	0.0	0.0	0.0	0.0	1.0	3.0	1.0	2.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	11.0	4.0	0.0	0.0	0.0	12.0	0.0	0.0	52.0
TAPT1	0.0	2.0	3.0	3.0	0.0	8.0	0.0	0.0	2.0	2.0	0.0	1.0	1.0	1.0	1.0	4.0	5.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	4.0	4.0	0.0	0.0	0.0	13.0	0.0	0.0	59.0
TARBP1	0.0	12.0	13.0	5.0	0.0	6.0	0.0	2.0	2.0	9.0	0.0	4.0	1.0	0.0	2.0	3.0	15.0	10.0	0.0	7.0	0.0	0.0	2.0	5.0	1.0	25.0	14.0	0.0	1.0	1.0	41.0	1.0	0.0	182.0
TARBP2	0.0	3.0	7.0	2.0	0.0	11.0	0.0	0.0	2.0	3.0	1.0	0.0	1.0	1.0	2.0	1.0	1.0	2.0	0.0	0.0	1.0	0.0	1.0	2.0	0.0	4.0	3.0	0.0	0.0	0.0	18.0	0.0	0.0	66.0
TARDBP	0.0	5.0	1.0	2.0	0.0	3.0	0.0	0.0	1.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	10.0	3.0	0.0	0.0	0.0	14.0	0.0	0.0	55.0
