"gene_name","n_syn","n_mis","n_non","n_spl","n_ind","wmis_cv","wnon_cv","wspl_cv","wind_cv","pmis_cv","ptrunc_cv","pallsubs_cv","pind_cv","qmis_cv","qtrunc_cv","qallsubs_cv","pglobal_cv","qglobal_cv"
"PAFAH1B1",2,9,1,0,0,1.78897740541339,1.76440511874617,1.76440511874617,0,0.31123311544027,0.630909101046117,0.587437655525726,1,0.75663585769661,0.846879710217236,0.851607295989557,0.899945768839498,0.999999998458921
"GLO1",0,3,0,0,0,1.9541244660983,0,0,0,0.447346262852437,0.557833883226936,0.587532352787131,1,0.838164227081204,0.846456996062793,0.851607295989557,0.899996138744585,0.999999998458921
"MCC",10,18,2,1,0,0.785858389721607,1.45158175856104,1.45158175856104,0,0.519628470146009,0.577966228801627,0.587596463959488,1,0.869798706968807,0.846456996062793,0.851607295989557,0.900030231104767,0.999999998458921
"FUT11",4,5,0,0,0,0.690072153641513,0,0,0,0.535781932958454,0.370362730767652,0.587596936362444,1,0.876885807931643,0.846456996062793,0.851607295989557,0.900030482288246,0.999999998458921
"DOCK1",16,29,2,1,0,0.748851818640281,0.66251390263872,0.66251390263872,0,0.339652200051602,0.487997229534604,0.587600152446978,1,0.777392612353239,0.846456996062793,0.851607295989557,0.900032192316772,0.999999998458921
"MAT2B",2,5,0,0,0,1.44053884317523,0,0,0,0.580600242759075,0.430520632593828,0.587652987992083,1,0.895376607505424,0.846456996062793,0.851607295989557,0.900060283053833,0.999999998458921
"SRGAP3",31,56,5,2,0,0.845280495329996,1.19147795507175,1.19147795507175,0,0.446397711444981,0.679449295358259,0.587738676205869,1,0.838164227081204,0.855260684984824,0.851607295989557,0.900105830260395,0.999999998458921
"MYOM2",30,71,3,2,0,1.01483343407966,0.650527693317954,0.650527693317954,0,0.944703744231022,0.346216886635496,0.587758019251348,1,0.992205939231697,0.846456996062793,0.851607295989557,0.900116110245764,0.999999998458921
"MARCH9",5,7,0,0,0,1.05359989756045,0,0,0,0.92168533665575,0.314969520451656,0.587772364371441,1,0.986624935036483,0.846456996062793,0.851607295989557,0.90012373364058,0.999999998458921
"MSL1",1,2,0,0,0,0.509168365501231,0,0,0,0.44674664126708,0.421734168836321,0.587814784108359,1,0.838164227081204,0.846456996062793,0.851607295989557,0.900146274617357,0.999999998458921
"ANKS6",4,6,1,0,0,0.593701321131519,1.29880213871218,1.29880213871218,0,0.36486400715431,0.814181473210521,0.587853307723892,1,0.7917855011537,0.902830708423733,0.851607295989557,0.900166742622868,0.999999998458921
"CTH",0,4,0,0,0,1.6358299163469,0,0,0,0.550628886763932,0.473872257500047,0.587886687504104,1,0.883581887046255,0.846456996062793,0.851607295989557,0.900184475612685,0.999999998458921
"ANTXR2",5,6,1,1,0,0.843295194863359,2.1052748224012,2.1052748224012,0,0.75745311376185,0.387179337398267,0.587978242053513,1,0.948250198135373,0.846456996062793,0.851607295989557,0.90023310418853,0.999999998458921
