"gene_name","n_syn","n_mis","n_non","n_spl","n_ind","wmis_cv","wnon_cv","wspl_cv","wind_cv","pmis_cv","ptrunc_cv","pallsubs_cv","pind_cv","qmis_cv","qtrunc_cv","qallsubs_cv","pglobal_cv","qglobal_cv"
"KIRREL2",3,4,1,0,0,1.21348208792552,3.39500715797128,3.39500715797128,0,0.769593442590188,0.329380447362726,0.616725357170513,1,0.932018444649716,0.904340106794148,0.951742928042244,0.914808137000516,0.999999787711459
"HMMR",3,1,0,0,0,0.482188524409382,0,0,0,0.466922387923953,0.47692511026738,0.61684970509343,1,0.842327204918842,0.904340106794148,0.951742928042244,0.914868225731124,0.999999787711459
"C17orf102",0,0,0,0,0,0,0,0,0,0.335262901654494,0.831312245612353,0.616861476704629,1,0.842221745634471,0.904340106794148,0.951742928042244,0.914873912835845,0.999999787711459
"DHX34",5,4,0,0,0,0.758032010710703,0,0,0,0.65031488324657,0.360706293659887,0.616885433680432,1,0.891963156697627,0.904340106794148,0.951742928042244,0.914885486244181,0.999999787711459
"AL139099.1",0,0,0,0,0,0,0,0,0,0.338526770361788,0.806525410725487,0.616914353732458,1,0.842221745634471,0.904340106794148,0.951742928042244,0.914899456032371,0.999999787711459
"TCP10L",0,2,0,0,0,2.33811647904403,0,0,0,0.384175544811638,0.693641569975201,0.616941363824143,1,0.842221745634471,0.904340106794148,0.951742928042244,0.91491250199267,0.999999787711459
"SERTAD3",0,1,0,0,0,3.5633086757115,0,0,0,0.334420909479066,0.869138716572245,0.616979935967856,1,0.842221745634471,0.904945286402378,0.951742928042244,0.914931130410779,0.999999787711459
"NPIPB6",0,1,0,0,0,3.48468813876116,0,0,0,0.341982985575643,0.823497833927349,0.617108110281578,1,0.842221745634471,0.904340106794148,0.951742928042244,0.914993014880412,0.999999787711459
"TMEM200B",0,0,0,0,0,0,0,0,0,0.333633557636919,0.847925157580135,0.617145369894253,1,0.842221745634471,0.904340106794148,0.951742928042244,0.915010999382409,0.999999787711459
"SLC37A1",0,3,0,0,0,1.7420968854288,0,0,0,0.515405814397035,0.522060807220916,0.617158753480144,1,0.847601860172098,0.904340106794148,0.951742928042244,0.915017458834058,0.999999787711459
"BAG1",0,0,0,0,0,0,0,0,0,0.345091357403822,0.766808942121421,0.61717847381981,1,0.842221745634471,0.904340106794148,0.951742928042244,0.915026976126594,0.999999787711459
"TRIM43",1,2,0,0,0,2.27977103054564,0,0,0,0.375414056456315,0.705652402264427,0.617194123568642,1,0.842221745634471,0.904340106794148,0.951742928042244,0.915034528450585,0.999999787711459
"KRT77",3,3,0,0,0,0.664978400113984,0,0,0,0.562945670134698,0.3923930705568,0.617199534437407,1,0.860861305199044,0.904340106794148,0.951742928042244,0.915037139558895,0.999999787711459
"DNAI1",1,4,0,0,0,1.38040616541478,0,0,0,0.658810878045488,0.422448761195462,0.617361559849824,1,0.894538734305311,0.904340106794148,0.951742928042244,0.915115305748503,0.999999787711459
"ZNF239",4,3,0,0,0,0.612771516894396,0,0,0,0.471266894250516,0.46682184495412,0.617432699920568,1,0.842446196794798,0.904340106794148,0.951742928042244,0.915149612536562,0.999999787711459
"OVCH1-AS1",0,0,0,0,0,0,0,0,0,0.344848419294263,0.769470395160057,0.617437715055024,1,0.842221745634471,0.904340106794148,0.951742928042244,0.915152030739827,0.999999787711459
"TAF1D",0,1,0,0,0,3.50118252042028,0,0,0,0.340370493399879,0.833772841821394,0.617443730465086,1,0.842221745634471,0.904340106794148,0.951742928042244,0.915154931203394,0.999999787711459
"IL31RA",3,4,0,0,0,0.839521056817609,0,0,0,0.789138440967618,0.330802179951107,0.617460038825878,1,0.938807461954075,0.904340106794148,0.951742928042244,0.915162794346955,0.999999787711459
